## partial_directory: partial
## log_directory: logs
## instruction_directory: instructions
## item_list_file: item_list.csv
## mem_col: mem
## probe_col: probe
## tL_col: type_left
## tR_col: type_right
## con_col: item_condition
## stimulus_directory: stims
## correct_feedback: CORRECT
## error_feedback: WRONG
## timeout_feedback: TOO_SLOW
## window_width: 1280
## window_height: 720
## refresh_rate: 100
## midgrey_r: 0
## midgrey_g: 0
## midgrey_b: 0
## fixation_time: 1.0
## display_time: 1.0
## mask_time: 0.25
## blank_time: 0.5
## probe_alert_time: 0.5
## timeout: 5.0
## num_exp_trials_per_block: 128
## n_blocks: 3
## seed: 20586408
24, 9, 1, 0, 4, 4, SS, 1, 1,  0.3111
24, 9, 1, 1, 3, 3, SS, 1, 1,  0.4215
24, 9, 1, 2, 4, 7, LS, 1, 0,  0.3451
24, 9, 1, 3, 8, 8, SS, 1, 1,  0.3508
24, 9, 1, 4, 1, 1, SS, 1, 1,  0.3921
24, 9, 1, 5, 7, 7, SS, 1, 1,  0.3178
24, 9, 1, 6, 7, 3, HH, 0, 1,  0.3129
24, 9, 1, 7, 9, 7, SH, 0, 1,  0.3624
24, 9, 1, 8, 6, 4, SH, 0, 1,  0.4033
24, 9, 1, 9, 4, 6, SH, 0, 1,  0.3350
24, 9, 1, 10, 2, 7, HL, 1, 0,  0.4169
24, 9, 1, 11, 3, 7, HH, 0, 1,  0.4690
24, 9, 1, 12, 6, 6, SS, 1, 1,  0.3490
24, 9, 1, 13, 8, 8, SS, 1, 1,  0.3535
24, 9, 1, 14, 7, 3, HH, 0, 1,  0.3309
24, 9, 1, 15, 2, 2, SS, 1, 1,  0.3692
24, 9, 1, 16, 4, 4, SS, 1, 1,  0.4204
24, 9, 1, 17, 7, 7, SS, 1, 1,  0.3120
24, 9, 1, 18, 3, 6, LS, 1, 0,  0.3338
24, 9, 1, 19, 2, 2, SS, 1, 1,  0.3344
24, 9, 1, 20, 3, 7, HH, 0, 1,  0.2749
24, 9, 1, 21, 7, 7, SS, 1, 1,  0.3447
24, 9, 1, 22, 1, 3, SH, 0, 1,  0.2784
24, 9, 1, 23, 3, 1, SH, 0, 1,  0.3162
24, 9, 1, 24, 6, 6, SS, 1, 1,  0.2781
24, 9, 1, 25, 9, 9, SS, 1, 1,  0.3068
24, 9, 1, 26, 7, 7, SS, 1, 1,  0.3701
24, 9, 1, 27, 5, 3, LL, 1, 0,  0.3380
24, 9, 1, 28, 2, 7, HL, 0, 1,  0.2896
24, 9, 1, 29, 5, 5, SS, 1, 1,  0.3405
24, 9, 1, 30, 8, 8, SS, 1, 1,  0.3136
24, 9, 1, 31, 2, 2, SS, 1, 1,  0.3235
24, 9, 1, 32, 5, 6, SL, 1, 0,  0.3135
24, 9, 1, 33, 6, 8, LL, 0, 1,  0.3940
24, 9, 1, 34, 3, 8, HL, 0, 1,  0.3843
24, 9, 1, 35, 7, 7, SS, 1, 1,  0.3256
24, 9, 1, 36, 4, 2, LL, 0, 1,  0.4143
24, 9, 1, 37, 7, 6, LH, 0, 1,  0.4069
24, 9, 1, 38, 9, 6, LS, 1, 0,  0.3756
24, 9, 1, 39, 1, 1, SS, 1, 1,  0.5867
24, 9, 1, 40, 4, 5, SL, 0, 1,  0.4077
24, 9, 1, 41, 6, 7, LH, 0, 1,  0.3184
24, 9, 1, 42, 6, 6, SS, 1, 1,  0.3303
24, 9, 1, 43, 5, 5, SS, 1, 1,  0.3496
24, 9, 1, 44, 2, 2, SS, 1, 1,  0.3212
24, 9, 1, 45, 4, 4, SS, 1, 1,  0.3319
24, 9, 1, 46, 3, 4, LH, 0, 1,  0.3403
24, 9, 1, 47, 2, 8, HS, 0, 1,  0.4238
24, 9, 1, 48, 7, 3, HH, 0, 1,  0.3626
24, 9, 1, 49, 3, 2, SL, 0, 1,  0.3842
